StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,1,2,3,4,5,8,7,10,6,9,SC1,SC2,SC3,Q_URL,Q_Language,ExternalReference,imid,group,email,Recruit
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"INFORMED CONSENT 
 If you would like to participate in the survey, click on “Yes” below. 
 

 With this you declare: 
 

 

  I am 16 years or older. 
  I have read and understood the information. 
  I agree to participate in the study and to collection and use of the data obtained with it. 
  I reserve the right to withdraw this consent without giving any reason. 
  I reserve the right to stop the study at any time I wish.",Please insert your age:,Please select your gender:,What is the highest degree or level of education you have completed?,How often in the past week have you use Google Assistant through Google Home?,How often in the past week have you consume news in Google Assistant through Google Home?,How often in the past week have you use NOS.nl?,How often in the past week have you consume news in NOS.nl?,How often in the past week have you use Facebook?,How often in the past week have you consume news in Facebook?,Google Assistant,Facebook,NOS,Q_URL,Q_Language,ExternalReference,imid,group,email,Recruit
2021-10-06 1:56:00,2021-10-06 1:57:52,IP Address,100,112,TRUE,2021-10-06 1:57:52,R_SNMEnASSeCVRIBz,anonymous,NL,1,"Yes, I participate",74,Male,HBO (except HBO master) / WO candidate or WO bachelor,1,,5,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=659202,NL,659202,659202,FB,xxxx@xxx.com,Completed
2021-10-06 2:27:07,2021-10-06 2:28:11,IP Address,100,64,TRUE,2021-10-06 2:28:11,R_PYdXAWSboINPRBL,anonymous,NL,1,"Yes, I participate",35,Female,HBO (except HBO master) / WO candidate or WO bachelor,5,1,1,,5,5,1,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=727824,NL,727824,727824,FB,xxxx@xxx.com,Completed
2021-10-06 4:12:43,2021-10-06 4:16:03,IP Address,100,199,TRUE,2021-10-06 4:16:03,R_2dTrlCedXAiJULu,anonymous,NL,1,"Yes, I participate",76,Male,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,2,2,5,5,0,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=1894074,NL,1894074,1894074,FB,xxxx@xxx.com,Completed
2021-10-06 5:36:35,2021-10-06 5:37:47,IP Address,100,71,TRUE,2021-10-06 5:37:47,R_3nufnoFlo8eQqlC,anonymous,NL,800.000.011.920.928.000.000.000,"Yes, I participate",73,Female,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,2,2,5,5,0,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=486764,NL,486764,486764,FB,xxxx@xxx.com,Completed
2021-10-06 6:20:59,2021-10-06 6:25:18,IP Address,100,259,TRUE,2021-10-06 6:25:19,R_PSfJWXsC2vvr3DX,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",73,Female,"MBO 2, 3, 4 or MBO before 1998",1,,3,5,5,3,0,3,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=1524116,NL,1524116,1524116,FB,xxxx@xxx.com,Completed
2021-10-06 8:59:57,2021-10-06 9:01:05,IP Address,100,67,TRUE,2021-10-06 9:01:05,R_3I66pRPZUoftymd,anonymous,NL,1,"Yes, I participate",72,Male,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",1,,1,,3,3,0,3,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=1578054,NL,1578054,1578054,FB,xxxx@xxx.com,Completed
2021-10-06 9:02:05,2021-10-06 9:05:56,IP Address,100,231,TRUE,2021-10-06 9:05:57,R_2YrLktsp7w2kbp7,anonymous,NL,1,"Yes, I participate",73,Female,"MBO 2, 3, 4 or MBO before 1998",1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=3850394,NL,3850394,3850394,FB,xxxx@xxx.com,Completed
2021-10-06 9:08:03,2021-10-06 9:10:00,IP Address,100,116,TRUE,2021-10-06 9:10:00,R_1E5wGif1KHOaAVz,anonymous,NL,1,"Yes, I participate",78,Male,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,2,1,3,2,5,5,1,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=19515,NL,19515,19515,FB,xxxx@xxx.com,Completed
2021-10-06 9:12:33,2021-10-06 9:14:20,IP Address,100,106,TRUE,2021-10-06 9:14:20,R_9TAZ5ZIT6CJTtf3,anonymous,NL,1,"Yes, I participate",64,Male,"MBO 2, 3, 4 or MBO before 1998",1,,1,,5,3,0,3,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=40696,NL,40696,40696,FB,xxxx@xxx.com,Completed
