StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,1_1,1_2,1_3,1_8,1_9,2_1,2_2,2_3,2_8,2_9,imid,Q_Language,group,SC1,SC2,SC3,controls
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - First issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Second issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Third issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Forth issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Fifth issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - First issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Second issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Third issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Forth issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Fifth issue,imid,Q_Language,group,SC1,SC2,SC3,controls
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_8""}","{""ImportId"":""QID38_9""}","{""ImportId"":""imid""}","{""ImportId"":""Q_Language""}","{""ImportId"":""group""}","{""ImportId"":""SC1""}","{""ImportId"":""SC2""}","{""ImportId"":""SC3""}","{""ImportId"":""controls""}"
2021-10-21 01:31:03,2021-10-21 01:31:34,IP Address,100,31,True,2021-10-21 01:31:35,R_1prOhTRGIPPSKaF,anonymous,NL,1,ter apel,corona,economie,faillisementen,irak,ter apel,corona,economie,faillisementen,irak,4437545,NL,GA,5,5,5,yes
2021-10-21 01:31:11,2021-10-21 01:32:45,IP Address,100,93,True,2021-10-21 01:32:45,R_2B3RsVN4bhSSOZI,anonymous,NL,0.89999997615814208984375,Corona,"Asielzoekers ","Gezondheidszorg ",-,-,Marokko,Barendrecht,"Corona ",-,-,579492,NL,FB,0,5,2,yes
2021-10-21 01:31:45,2021-10-21 01:32:54,IP Address,100,68,True,2021-10-21 01:32:54,R_2dL7KJFwAoE7PGk,anonymous,NL,0.89999997615814208984375,KLIMAAT,CUKTUUR,GEZONDHEID,ONDERWIJS,CRIMINALITEIT,KLIMAAT,CRIMINALITEIT,GEZONDHEID,ONDERWIJD,CULTUUR,3832179,NL,NOS,2,3,5,yes
2021-10-21 01:32:37,2021-10-21 01:34:25,IP Address,100,108,True,2021-10-21 01:34:25,R_vAcHyiyrQgVAhKp,anonymous,NL,1,pandemie,gezondsheidszorg,opvang afghanen,woningbouw,energievoorziening,pandemie,opvang afghanen,energietekort,tekort personeel gezondheidszorg,vorming kabinet,3132317,NL,NOS,0,0,5,yes
2021-10-21 01:34:24,2021-10-21 01:36:14,IP Address,100,109,True,2021-10-21 01:36:14,R_2DUe2EcJ43spML9,anonymous,NL,1,corona,pensioen,loon,regering,nieuws,corona,pensioen,regering,loon,nieuws,43450,NL,FB,1,5,5,yes
2021-10-21 01:35:59,2021-10-21 01:36:59,IP Address,100,60,True,2021-10-21 01:36:59,R_2wN2YAYNECrg4Lr,anonymous,NL,0.89999997615814208984375,klimaatcrisis,woningmarkt,corona,kinderopvangtoeslag,nieuw kabinet,storm,kinderopvangtoeslag,nieuw kabinet,weet ik niet,weet ik niet,5005724,NL,NOS,0,2,5,yes
2021-10-21 01:35:52,2021-10-21 01:37:50,IP Address,100,117,True,2021-10-21 01:37:50,R_1IS1AuVR9cM51R7,anonymous,NL,0.89999997615814208984375,Kabinets crisis,Toeslagen affaire,Huizenmarkt,Vluchtelingen,Corona,"Harde wind ",Boze boeren,Toeslagen affaire,"Corona ","Entingen ",5039490,NL,FB,0,5,0,yes
2021-10-21 01:36:46,2021-10-21 01:38:36,IP Address,100,110,True,2021-10-21 01:38:37,R_3n1aykSYhoxX5Pr,anonymous,NL,1,voetbalgeweld,klimaat,toeslagen,energie,huizen,Corona,bedreiging Rutte,voetbalgeweld,corona,prijsverhogingen,170872,NL,GA,3,4,5,yes
2021-10-21 01:36:27,2021-10-21 01:38:48,IP Address,100,140,True,2021-10-21 01:38:49,R_3MJMakAamn55rv9,anonymous,NL,1,Toeslagen affaire,Klimaat,"Veiligheid ",Bestuur,Storm,Storm,"Toeslagen affaire ",Corona,Marokko,Klimaat,489084,NL,FB,0,3,0,yes
2021-10-21 01:34:27,2021-10-21 01:39:20,IP Address,100,292,True,2021-10-21 01:39:20,R_1JCvDIvOH57HxyX,anonymous,NL,1,Huisvesting,Economie,Milieu,Politiek,Veiligheid,Veiligheid,Gezondheid,Economie,Politiek,Huisvesting,3861380,NL,GA,5,2,3,yes
2021-10-21 01:38:01,2021-10-21 01:39:41,IP Address,100,100,True,2021-10-21 01:39:42,R_26o0KoFINcc7JS2,anonymous,NL,1,Milieu,Gasvoorziening,Wateroverlast,Klimaat,Geen idee,Milieu,Klimaat,"Gasvoorziening ","Wateroverlast ",Plastic,3139183,NL,NOS,0,0,5,yes
2021-10-21 01:35:00,2021-10-21 01:40:14,IP Address,100,313,True,2021-10-21 01:40:14,R_DuBTCj5sIcJutHP,anonymous,NL,0.89999997615814208984375,Wooncrisis,Kliimaat,Formatie,Stikstof,Asielzoekers,Storm  regen,Politiek,Toeslag affaire,Covid,De zorg,2434670,NL,NOS,2,3,5,yes
2021-10-21 01:38:17,2021-10-21 01:41:58,IP Address,100,221,True,2021-10-21 01:41:58,R_33l6yzqxeK2xJOA,anonymous,NL,1,Opvang vluchtelingen,stijgende Coronabesmettingen,klimaatbeleid,toeslagenaffaire,hoge energieprijzen,Navalny,vluchtelingencrisis,klimaat,toeslagenaffaire,geweldsdelicten,175805,NL,NOS,1,0,4,no
2021-10-21 01:35:26,2021-10-21 01:42:38,IP Address,100,432,True,2021-10-21 01:42:38,R_3kNH5ZytN0f42dP,anonymous,NL,1,prijzen woningen,coronabesmettingen,milieu,toeslagenaffaire,onderbrengen asielzoekers,storm code geel,Marokko vluchten geanuleerd,vluchtelingen Ter Apel,hondenuitlaatservice booming,Tata Steel,4482365,NL,NOS,2,0,5,yes
2021-10-21 01:40:44,2021-10-21 01:42:49,IP Address,100,125,True,2021-10-21 01:42:49,R_2uWE7KF5jART8fx,anonymous,NL,1,"Corona ","Huizen tekort ","Nieuw kabinet ","Economie ",Gas prijs,"Corona ","Huizen tekort ","Nieuw kabinet ","Economie ",Gas prijs,4413564,NL,FB,2,4,3,yes
