StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,T1_1,T1_2,T1_3,T1_4,T1_5,T1_6,T1_7,GA1_1,GA1_2,GA1_3,GA1_4,GA1_5,GA2,GA3_1,GA3_2,GA3_3,GA3_4,GA3_5,GA3_6,GA3_7,GA3_8,GA4,GA5,GA6,N1_1,N1_2,N1_3,N1_4,N1_5,N2,N3_1,N3_2,N3_3,N3_4,N3_5,N3_6,N3_7,N3_8,N4,N5,N6,FB1_1,FB1_2,FB1_3,FB1_4,FB1_5,FB2,FB3_1,FB3_2,FB3_3,FB3_4,FB3_5,FB3_6,FB3_7,FB3_8,FB4,FB5,FB6,1,2_1,imid,Q_Language,group,SC1,SC2,SC3
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Please indicate the level of agreement with the following statements: - I think I can trust the news most of the time.,Please indicate the level of agreement with the following statements: - I think I can trust most news organizations most of the time.​,Please indicate the level of agreement with the following statements: - I think I can trust journalists most of the time.​,Please indicate the level of agreement with the following statements: - The news media are independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news media are far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news media promote their own political agenda.,Please indicate the level of agreement with the following statements: - The news media give a biased view of reality.​,Please indicate the level of agreement with the following statements: - I think you can trust news on Google Assistant most of the time.,Please indicate the level of agreement with the following statements: - The news on Google Assistant is independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news on Google Assistant is far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news on Google Assistant promotes their own political agenda.​,Please indicate the level of agreement with the following statements: - The news on Google Assistant gives a biased view of reality.​,When I use Google Assistant in my Google home I do it with:,"In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - politics and national government","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - international affairs","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - science and technology","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - public health issues","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - economy","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - entertainment","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - celebrities and lifestyle","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - sports","If Google Assistant in Google Home could account for my interests, the news I would get would have fewer or more topics:","If Google Assistant in Google Home could account for my interests, the news I would get would have less or more depth:",I adjust the information I receive from Google Assistant:,Please indicate the level of agreement with the following statements: - I think you can trust news on NOS.nl most of the time.,Please indicate the level of agreement with the following statements: - The news on NOS.nl is independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news on NOS.nl is far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news on NOS.nl promotes their own political agenda.​,Please indicate the level of agreement with the following statements: - The news on NOS.nl gives a biased view of reality.​,When I use NOS I do it with:,"In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - politics and national government","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - international affairs","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - science and technology","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - public health issues","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - economy","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - entertainment","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - celebrities and lifestyle","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - sports","If NOS.nl could account for my interests, the news I would get would have fewer or more topics:","If NOS.nl could account for my interests, the news I would get would have less or more depth:",I adjust the information I receive from NOS:,Please indicate the level of agreement with the following statements: - I think I can trust news on Facebook most of the time.,Please indicate the level of agreement with the following statements: - The news on Facebook is independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news on Facebook is far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news on Facebook promotes their own political agenda.​,Please indicate the level of agreement with the following statements: - The news on Facebook gives a biased view of reality.​,When I use Facebook I do it with:,"In the past week, how much attention do you pay to news stories about the following topics on Facebook: - politics and national government","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - international affairs","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - science and technology","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - public health issues","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - economy","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - entertainment","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - celebrities and lifestyle","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - sports","If Facebook could account for my interests, the news I would get would have fewer or more topics:","If Facebook could account for my interests, the news I would get would have less or more depth:",I adjust the information I receive from Facebook:,How interested are you in politics?,It is often said that political opinions can be placed on a left-right scale. - Political Opinion,imid,Q_Language,group,SC1,SC2,SC3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID40_5""}","{""ImportId"":""QID40_6""}","{""ImportId"":""QID40_7""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID43_5""}","{""ImportId"":""QID43_6""}","{""ImportId"":""QID43_7""}","{""ImportId"":""QID43_8""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID55_5""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_5""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_7""}","{""ImportId"":""QID57_8""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID51_3""}","{""ImportId"":""QID51_4""}","{""ImportId"":""QID51_5""}","{""ImportId"":""QID51_6""}","{""ImportId"":""QID51_7""}","{""ImportId"":""QID51_8""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_1""}","{""ImportId"":""imid""}","{""ImportId"":""Q_Language""}","{""ImportId"":""group""}","{""ImportId"":""SC1""}","{""ImportId"":""SC2""}","{""ImportId"":""SC3""}"
2021-10-19 2:47:41,2021-10-19 2:48:50,IP Address,100,68,TRUE,2021-10-19 2:48:50,R_1mWvOZO7HQkK9pL,anonymous,NL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly interesting - 2,5,169409,NL,,,,
2021-10-19 0:25:03,2021-10-19 3:48:35,IP Address,100,12211,TRUE,2021-10-19 3:48:35,R_1i527pW0D59kjJq,anonymous,NL,89.999.997.615.814.200.000.000,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very interesting - 4,6,47939,NL,,2,1,2
2021-10-19 6:04:57,2021-10-19 6:10:13,IP Address,100,315,TRUE,2021-10-19 6:10:13,R_1Qg3A3zlHvNy8Jf,anonymous,NL,1,Somewhat disagree - 3,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree -5,Somewhat disagree - 3,Somewhat agree -5,Agree -6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree - 2,Disagree - 2,Somewhat disagree - 3,Somewhat agree - 5,Somewhat agree - 5,Moderately too little attention - 2,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Moderately too much - 6,Moderately too much - 6,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Somewhat disagree - 3,Agree - 6,Never - 1,Moderately interesting - 3,3,480760,NL,FB,0,4,0
2021-10-19 6:04:36,2021-10-19 6:12:04,IP Address,100,448,TRUE,2021-10-19 6:12:04,R_3PYP5nSSCZ5AP4B,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Moderately too little - 2,Somewhat agree - 5,Somewhat agree - 5,Sometimes - 3,Somewhat agree - 5,Somewhat agree - 5,Neither agree of disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Sometimes - 3,,,,,,,,,,,,,,,,,,Slightly interesting - 2,4,4156208,NL,GA,3,4,4
2021-10-19 6:17:01,2021-10-19 6:21:27,IP Address,100,266,TRUE,2021-10-19 6:21:28,R_3I6RtogFzq6IWIL,anonymous,NL,89.999.997.615.814.200.000.000,Agree -6,Agree -6,Agree -6,Somewhat agree -5,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,,,,,,,,,,,,,,,,,,Strongly agree - 7,Strongly agree - 7,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,Neither too much nor too little attention - 4,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Strongly disagree - 1,Strongly disagree - 1,Never - 1,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,Strongly agree - 7,Strongly agree - 7,Slightly too much attention - 5,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too much - 7,Far too much - 7,Far too little - 1,Agree - 6,Agree - 6,Never - 1,Slightly interesting - 2,5,345053,NL,FB,0,5,5
2021-10-19 6:19:05,2021-10-19 6:21:54,IP Address,100,168,TRUE,2021-10-19 6:21:54,R_324Q1LzecazAGNU,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,Agree - 6,Agree - 6,Somewhat disagree - 3,Somewhat disagree - 3,Disagree - 2,Moderately too much attention - 6,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,,,,,,,,,,,,,,,,,,Slightly interesting - 2,5,36853,NL,NOS,0,3,4
2021-10-19 6:27:41,2021-10-19 6:36:36,IP Address,100,535,TRUE,2021-10-19 6:36:36,R_2sdvNpBt7bjbZNs,anonymous,NL,1,Agree -6,Agree -6,Agree -6,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Agree -6,Agree - 6,Agree - 6,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,Slightly too little attention - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Moderately too little - 2,Moderately too much - 6,Somewhat disagree - 3,Somewhat disagree - 3,Usually - 5,Agree - 6,Somewhat agree - 5,Disagree - 2,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Slightly too little - 3,Moderately too much - 6,Somewhat disagree - 3,Neither agree nor disagree - 4,Usually - 5,,,,,,,,,,,,,,,,,,Slightly interesting - 2,6,4876236,NL,NOS,2,3,5
2021-10-19 6:28:08,2021-10-19 6:45:33,IP Address,100,1044,TRUE,2021-10-19 6:45:34,R_1rGpP4XnUDZauYI,anonymous,NL,89.999.997.615.814.200.000.000,Strongly agree - 7,Strongly agree - 7,Strongly agree - 7,Strongly agree - 7,Strongly disagree - 1,Somewhat disagree - 3,Disagree - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Far too little - 1,Far too little - 1,Neither too much nor too little - 4,Agree - 6,Strongly agree - 7,About half of the time - 4,Strongly agree - 7,Strongly agree - 7,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Agree - 6,Agree - 6,About half of the time - 4,,,,,,,,,,,,,,,,,,Extremely interesting - 5,3,42267,NL,GA,5,1,5
