"imid","group","TrustGeneral","TrustChannel","AttentionGeneral","Attention","PolAttention","IAffairsAttention","PublicHealthAttention","ScienceAttention","EconomyAttention","SportsAttention","EntAttention","CelAttention","PerceivedLackDiversity","Customization","PolInt","PolOr"
659202,"FB",4.57142857142857,4.4,5,4,3,3,3,3,3,3,3,3,4,1,4,2
727824,"FB",4.85714285714286,4.2,4,4,4,4,3,4,3,1,3,4,5,1,1,9
1894074,"FB",4.42857142857143,3.4,5,4.5,4,4,5,4,4,5,5,4,4.5,1,3,6
486764,"FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1524116,"FB",4.71428571428571,4.8,2,2,2,2,5,1,4,1,4,1,3.5,3,4,2
1578054,"FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3850394,"FB",3.85714285714286,3,4,4,4,2,3,2,3,4,4,4,5.5,1,1,6
19515,"FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40696,"FB",4.57142857142857,4.4,4,3,2,2,2,2,2,2,2,2,4,1,4,8
579492,"FB",5.14285714285714,3.8,4,4,4,4,4,4,4,1,4,4,4,1,3,8
488061,"FB",4.28571428571429,4.6,4,4,4,4,4,4,4,4,4,4,4,5,3,8
2744799,"FB",5.28571428571429,5.2,4,4.5,5,4,6,3,7,4,1,1,5.5,4,4,3
345053,"FB",3.71428571428571,3.4,5,3,1,1,1,1,1,1,7,7,6,1,2,5
1208274,"FB",3.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
173412,"FB",4.28571428571429,3.6,4,4,4,4,4,4,4,4,4,4,5.5,1,4,6
4780007,"FB",5,4,4,4,4,2,2,2,2,1,4,4,4,1,4,3
3982885,"FB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481260,"FB",4.14285714285714,4.2,4,4,4,4,2,3,4,4,4,4,4,2,2,6
4018201,"FB",5,4.2,4,4,4,4,4,4,4,4,4,4,5,3,3,8
809350,"FB",4,3.8,4,4.5,5,5,5,5,4,4,4,4,4,4,3,6
4661827,"FB",4.28571428571429,3.4,5,4,3,3,5,3,3,5,7,7,4,1,3,8
